"가정별","성별","연령별",2021,2022,2023,2024,2025
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","20 - 24세",1711404,1620461,1548436,1486372,1390474
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","25 - 29세",1962374,1933726,1915057,1878599,1841645
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","30 - 34세",1745107,1796779,1883794,1938196,1969945
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","35 - 39세",1907424,1808706,1750443,1731341,1744455
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","40 - 44세",2020470,2067075,2087030,2069513,1986113
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","45 - 49세",2138197,2061862,1995415,1947890,1968894
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","50 - 54세",2221205,2258061,2281401,2252613,2207838
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","55 - 59세",2068337,2068112,2034448,2117431,2142637
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","60 - 64세",1999375,2042614,2101922,2082774,2062168
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","65 - 69세",1394231,1478069,1584823,1700794,1787365
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","70 - 74세",975339,1012668,1045428,1087769,1185734
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","75 - 79세",675869,696606,722713,768879,816937
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","80세이상",677488,737256,793265,829873,870938
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","80 - 84세",438090,476263,510831,518803,531274
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","85 - 89세",184329,201240,217654,238467,256289
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","90 - 94세",45872,50323,54970,61639,71431
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","95 - 99세",8158,8291,8601,9811,10842
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","100세 이상",1039,1139,1209,1153,1102
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","계",25898598,25853883,25852731,25874289,25846661
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","0 - 4세",788033,727814,676677,632988,595836
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","5 - 9세",1088040,1044863,988475,933128,860959
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","10 - 14세",1114575,1122176,1112763,1106168,1106767
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","15 - 19세",1129458,1104293,1112684,1101072,1099151
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","20 - 24세",1566923,1484776,1405228,1352417,1269821
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","25 - 29세",1712828,1695058,1679660,1655044,1634824
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","30 - 34세",1561344,1593655,1640746,1677571,1700142
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","35 - 39세",1775602,1673805,1599400,1565915,1561026
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","40 - 44세",1923936,1967944,1979185,1954043,1865133
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","45 - 49세",2075715,2000130,1931529,1880851,1896876
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","50 - 54세",2204543,2231491,2244211,2207260,2159961
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","55 - 59세",2045289,2045845,2036303,2128595,2149934
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","60 - 64세",2065374,2105499,2156283,2128317,2093298
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","65 - 69세",1500680,1585781,1689360,1808456,1901240
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","70 - 74세",1115186,1152098,1189249,1235014,1341351
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","75 - 79세",891575,899933,914385,954783,1003597
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","80세이상",1339497,1418722,1496593,1552667,1606745
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","80 - 84세",719722,762492,800915,804085,807688
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","85 - 89세",421203,445118,468271,499163,522057
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","90 - 94세",158017,168603,180821,196922,218180
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","95 - 99세",35223,36739,40044,46194,52293
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","100세 이상",5332,5770,6542,6303,6527
